
 
 Printing node data
 
 Index 	 Node.x 	 Node.y 	 Node.z 
 411 	 21.058932 	 0.868210 	 7.620000 
 412 	 21.052682 	 -1.021888 	 7.620000 
 413 	 20.880134 	 -2.904101 	 7.620000 
 414 	 20.536871 	 -4.762777 	 7.620000 
 415 	 20.026605 	 -6.582702 	 7.620000 
 416 	 19.356719 	 -8.350118 	 7.620000 
 417 	 18.531266 	 -10.050453 	 7.620000 
 418 	 17.555451 	 -11.669184 	 7.620000 
 419 	 16.439918 	 -13.194993 	 7.620000 
 420 	 15.192853 	 -14.615320 	 7.620000 
 421 	 13.821939 	 -15.916508 	 7.620000 
 422 	 12.340595 	 -17.090446 	 7.620000 
 423 	 10.760830 	 -18.128152 	 7.620000 
 424 	 9.093398 	 -19.018197 	 7.620000 
 425 	 7.353181 	 -19.755863 	 7.620000 
 426 	 5.554454 	 -20.336449 	 7.620000 
 427 	 3.710508 	 -20.751625 	 7.620000 
 428 	 1.836768 	 -20.999821 	 7.620000 
 429 	 -0.051587 	 -21.081141 	 7.620000 
 430 	 -1.939577 	 -20.991679 	 7.620000 
 431 	 -3.811847 	 -20.732622 	 7.620000 
 432 	 -5.653813 	 -20.308764 	 7.620000 
 433 	 -7.450277 	 -19.721206 	 7.620000 
 434 	 -9.186258 	 -18.973629 	 7.620000 
 435 	 -10.849112 	 -18.075059 	 7.620000 
 436 	 -12.425019 	 -17.031500 	 7.620000 
 437 	 -13.899787 	 -15.849313 	 7.620000 
 438 	 -15.263556 	 -14.540637 	 7.620000 
 439 	 -16.505410 	 -13.115752 	 7.620000 
 440 	 -17.612776 	 -11.584002 	 7.620000 
 441 	 -18.579294 	 -9.959706 	 7.620000 
 442 	 -19.397865 	 -8.256049 	 7.620000 
 443 	 -20.058438 	 -6.485131 	 7.620000 
 444 	 -20.558086 	 -4.662262 	 7.620000 
 445 	 -20.894296 	 -2.802298 	 7.620000 
 446 	 -21.060763 	 -0.919536 	 7.620000 
 447 	 -21.057580 	 0.970570 	 7.620000 
 448 	 -20.887041 	 2.852966 	 7.620000 
 449 	 -20.547555 	 4.712335 	 7.620000 
 450 	 -20.041840 	 6.533530 	 7.620000 
 451 	 -19.376743 	 8.302752 	 7.620000 
 452 	 -18.555680 	 10.005210 	 7.620000 
 453 	 -17.583926 	 11.626382 	 7.620000 
 454 	 -16.472164 	 13.154939 	 7.620000 
 455 	 -15.228418 	 14.578176 	 7.620000 
 456 	 -13.860673 	 15.882698 	 7.620000 
 457 	 -12.382347 	 17.060430 	 7.620000 
 458 	 -10.805188 	 18.102098 	 7.620000 
 459 	 -9.139943 	 18.996222 	 7.620000 
 460 	 -7.401590 	 19.738275 	 7.620000 
 461 	 -5.604307 	 20.323314 	 7.620000 
 462 	 -3.761260 	 20.742455 	 7.620000 
 463 	 -1.888106 	 20.995043 	 7.620000 
 464 	 21.058932 	 0.868210 	 10.160000 
 465 	 21.052682 	 -1.021888 	 10.160000 
 466 	 20.880134 	 -2.904101 	 10.160000 
 467 	 20.536874 	 -4.762777 	 10.160000 
 468 	 20.026605 	 -6.582704 	 10.160000 
 469 	 19.356719 	 -8.350118 	 10.160000 
 470 	 18.531266 	 -10.050453 	 10.160000 
 471 	 17.555451 	 -11.669184 	 10.160000 
 472 	 16.439918 	 -13.194993 	 10.160000 
 473 	 15.192853 	 -14.615320 	 10.160000 
 474 	 13.821939 	 -15.916508 	 10.160000 
